date,issue_id,issue_title,person,activity,minutes,notes,pr_link
2026-03-24,37,630:P2 Duplicated message-send blocks in handlePUTPIECE,Evan,review,45,Reviewed PR #44 — safe extractions; same behavior,https://github.com/evanalba/JSettlers2/pull/44
2026-03-24,39,630:P2 Complex switch in SOCGameMessageHandler.dispatch (~50 cases; dead comments),Evan,review,15,Reviewed PR #45 — straightforward cleanup,https://github.com/evanalba/JSettlers2/pull/45
2026-03-31,30,630:P2 [SonarQube] Reduce cognitive complexity (20 to 15) in board/client code,Evan,triage,30,"Read description, code, and surrounding context",
2026-03-31,30,630:P2 [SonarQube] Reduce cognitive complexity (20 to 15) in board/client code,Evan,plan,45,Reviewed on-cords / layout flow,
2026-03-31,30,630:P2 [SonarQube] Reduce cognitive complexity (20 to 15) in board/client code,Evan,implement,30,Extracted high-complexity regions,
2026-03-31,30,630:P2 [SonarQube] Reduce cognitive complexity (20 to 15) in board/client code,Evan,verify,30,Ran gradle tests — 317/317 pass; SonarQube clean; manual smoke,
2026-03-31,30,630:P2 [SonarQube] Reduce cognitive complexity (20 to 15) in board/client code,Evan,pr_overhead,15,Wrote PR description,https://github.com/evanalba/JSettlers2/pull/59
2026-03-31,31,630:P2 [SonarQube] Reduce cognitive complexity (30 to 15) in SOCGameBoardReset,Evan,triage,45,"Read description, code, and surrounding context",
2026-03-31,31,630:P2 [SonarQube] Reduce cognitive complexity (30 to 15) in SOCGameBoardReset,Evan,plan,60,Planned helper extractions,
2026-03-31,31,630:P2 [SonarQube] Reduce cognitive complexity (30 to 15) in SOCGameBoardReset,Evan,implement,60,Split reset/connection logic into helpers,
2026-03-31,31,630:P2 [SonarQube] Reduce cognitive complexity (30 to 15) in SOCGameBoardReset,Evan,verify,30,Ran gradle tests — 317/317 pass; SonarQube clean,
2026-03-31,31,630:P2 [SonarQube] Reduce cognitive complexity (30 to 15) in SOCGameBoardReset,Evan,pr_overhead,15,Wrote PR description,https://github.com/evanalba/JSettlers2/pull/62
2026-03-31,42,630:P2 [SonarQube] Replace replaceAll with replace in DataOutputUtils,Evan,review,15,Reviewed PR #55 — replacements preserve behavior,https://github.com/evanalba/JSettlers2/pull/55
2026-03-31,43,630:P2 [Both] SOCDevCardConstants — constants holder refactor,Evan,review,30,Reviewed PR #57 — straightforward replacement,https://github.com/evanalba/JSettlers2/pull/57
2026-04-01,29,630:P2 [SonarQube] Reduce cognitive complexity in updateLongestRoad (17 to 15),Evan,rework,15,Corrected longest-road skip guard after review,https://github.com/evanalba/JSettlers2/pull/54
2026-04-01,29,630:P2 Reduce cognitive complexity in updateLongestRoad,Ricky,review,30,Re-reviewed PR #54 after main merge and guard fix; approved and squash-merged,https://github.com/evanalba/JSettlers2/pull/54
2026-04-01,29,630:P2 Reduce cognitive complexity in updateLongestRoad,Ricky,pr_overhead,15,Squash merge and Closes #29 bookkeeping,https://github.com/evanalba/JSettlers2/pull/54
2026-04-01,38,630:P2 Long Method — putPieceCommon in SOCGame,Ricky,rework,15,Restored fog-hex context in helper comment after Luke's PR feedback,https://github.com/evanalba/JSettlers2/pull/47
